Id,Director,writer,actor,crew
6722,Paolo Sorrentino,Paolo Sorrentino,Michael Caine,41
6723,Tarsem Singh,Àlex Pastor,Ryan Reynolds,139
6724,Seth MacFarlane,Seth MacFarlane,Mark Wahlberg,65
6725,Joe Wright,Jason Fuchs,Levi Miller,80
6726,Chris Columbus,Tim Herlihy,Adam Sandler,134
6727,Jean-Marc Vallée,Bryan Sipe,Jake Gyllenhaal,149
6728,Justin Kurzel,Todd Louiso,Michael Fassbender,65
6729,Sean Anders,Brian Burns,Will Ferrell,60
6730,Jaume Collet-Serra,Brad Ingelsby,Liam Neeson,41
6731,Paco Cabezas,Max Landis,Anna Kendrick,70
6732,Gregory Jacobs,Reid Carolin,Channing Tatum,110
6733,Ari Sandel,Josh A. Cagan,Mae Whitman,120
6734,Jay Roach,John McNamara,Bryan Cranston,33
6735,Genndy Tartakovsky,Robert Smigel,Adam Sandler,39
6736,Terrence Malick,Terrence Malick,Christian Bale,125
6737,Kyle Patrick Alvarez,Tim Talbott,Ezra Miller,130
6738,George Tillman Jr.,Nicholas Sparks,Scott Eastwood,123
6739,Paul McGuigan,Max Landis,Daniel Radcliffe,120
6740,Leigh Whannell,Leigh Whannell,Dermot Mulroney,103
6741,Rob Letterman,Darren Lemke,Jack Black,130
6742,Cameron Crowe,Cameron Crowe,Bradley Cooper,23
6743,S.S. Rajamouli,Vijayendra Prasad,Prabhas,90
6744,Luca Guadagnino,David Kajganich,Tilda Swinton,29
6745,Jeremy Garelick,Jeremy Garelick,Kevin Hart,23
6746,Jason Moore,Paula Pell,Amy Poehler,144
6747,Billy Ray,Billy Ray,Chiwetel Ejiofor,26
6748,Woody Allen,Woody Allen,Joaquin Phoenix,24
6749,Simon West,William Goldman,Jason Statham,38
6750,Jake Schreier,Scott Neustadter,Nat Wolff,21
6751,Nicholas Hytner,Alan Bennett,Maggie Smith,101
6752,Paul Tibbitt,Jonathan Aibel,Tom Kenny,65
6753,Daniel Espinosa,Richard Price,Tom Hardy,142
6754,Roar Uthaug,John Kåre Raake,Kristoffer Joner,45
6755,Hannes Holm,Hannes Holm,Rolf Lassgård,31
6756,Cary Joji Fukunaga,Cary Joji Fukunaga,Abraham Attah,94
6757,Alfonso Gomez-Rejon,Jesse Andrews,Thomas Mann,112
6758,Leslye Headland,Leslye Headland,Jason Sudeikis,69
6759,Peter Landesman,Peter Landesman,Will Smith,43
6760,Marielle Heller,Phoebe Gloeckner,Bel Powley,39
6761,Deniz Gamze Ergüven,Deniz Gamze Ergüven,Günes Sensoy,114
6762,Robert Zemeckis,Robert Zemeckis,Joseph Gordon-Levitt,145
6763,Sean Baker,Sean Baker,Kitana Kiki Rodriguez,63
6764,Ken Kwapis,Michael Arndt,Robert Redford,139
6765,Ciarán Foy,Scott Derrickson,James Ransone,134
6766,Catherine Corsini,Catherine Corsini,Cécile de France,85
6767,Duke Johnson,Charlie Kaufman,David Thewlis,82
6768,Oz Perkins,Oz Perkins,Emma Roberts,58
6769,Anna Boden,Anna Boden,Ben Mendelsohn,45
6770,Nishikant Kamat,Jeethu Joseph,Ajay Devgn,135
6771,Shinji Higuchi,Hajime Isayama,Haruma Miura,56
6772,Simon Curtis,Alexi Kaye Campbell,Helen Mirren,19
6773,Dexter Fletcher,Simon Kelton,Taron Egerton,74
6774,Gavin Hood,Guy Hibbert,Helen Mirren,84
6775,John Madden,Ol Parker,Judi Dench,122
6776,Sean Mewshaw,Sean Mewshaw,Rebecca Hall,129
6777,Gil Kenan,David Lindsay-Abaire,Sam Rockwell,131
6778,Lorene Scafaria,Lorene Scafaria,Susan Sarandon,87
6779,Max Joseph,Max Joseph,Zac Efron,90
6780,Patricia Rozema,Patricia Rozema,Elliot Page,130
6781,Paul Weitz,Paul Weitz,Lily Tomlin,92
6782,Sanjay Leela Bhansali,Nagnath S. Inamdar,Ranveer Singh,78
6783,Angelina Jolie,Angelina Jolie,Brad Pitt,51
6784,David Koepp,Eric Aronson,Johnny Depp,111
6785,Brett Haley,Brett Haley,Blythe Danner,130
6786,Henry Hobson,John Scott 3,Arnold Schwarzenegger,140
6787,Dean Israelite,Jason Pagan,Amy Landecker,84
6788,Alejandro Amenábar,Alejandro Amenábar,Ethan Hawke,137
6789,Rupert Goold,Rupert Goold,James Franco,41
6790,Matt Brown,Matt Brown,Dev Patel,105
6791,Camille Delamarre,Adam Cooper,Ed Skrein,78
6792,Craig Zobel,Nissar Modi,Chiwetel Ejiofor,52
6793,Drake Doremus,Nathan Parker,Nicholas Hoult,129
6794,Rick Famuyiwa,Rick Famuyiwa,Shameik Moore,96
6795,Martin Zandvliet,Martin Zandvliet,Roland Møller,94
6796,Anne Fletcher,David Feeney,Reese Witherspoon,146
6797,Michael Dougherty,Todd Casey,Adam Scott,111
6798,Kabir Khan,Vijayendra Prasad,Salman Khan,116
6799,Agnieszka Smoczynska,Robert Bolesto,Marta Mazurek,129
6800,Pierre Morel,Jean-Patrick Manchette,Sean Penn,43
6801,Jonathan Levine,Jonathan Levine,Joseph Gordon-Levitt,107
6802,Michael Polish,Michael Polish,Kate Bosworth,147
6803,Matteo Garrone,Edoardo Albinati,Salma Hayek,84
6804,Wilson Yip,Tai-lee Chan,Donnie Yen,136
6805,Niki Caro,Christopher Cleveland,Kevin Costner,66
6806,Gary Rydstrom,David Berenbaum,Evan Rachel Wood,142
6807,Steve Martino,Craig Schulz,Noah Schnapp,90
6808,Barry Levinson,Mitch Glazer,Bill Murray,111
6809,Gus Van Sant,Chris Sparling,Matthew McConaughey,123
6810,Walt Becker,Ross Bagdasarian,Jason Lee,102
6811,David Gelb,Luke Dawson,Olivia Wilde,121
6812,Jessie Nelson,Steven Rogers,Steve Martin,149
6813,Patricia Riggen,Mikko Alanne,Antonio Banderas,71
6814,Mark Osborne,Irena Brignull,Jeff Bridges,74
6815,Joachim Trier,Joachim Trier,Jesse Eisenberg,33
6816,Travis Cluff,Chris Lofing,Reese Mishler,120
6817,David Farr,David Farr,Clémence Poésy,139
6818,Directors,Matt Bettinelli-Olpin,Chad Villella,122
6819,Anders Thomas Jensen,Anders Thomas Jensen,David Dencik,146
6820,Paul Gross,Paul Gross,Rossif Sutherland,26
6821,John Maclean,John Maclean,Kodi Smit-McPhee,114
6822,James Ponsoldt,Donald Margulies,Jason Segel,50
6823,Jon Watts,Jon Watts,Kevin Bacon,128
6824,Simon Stone,Simon Stone,Geoffrey Rush,80
6825,Jon M. Chu,Ryan Landels,Aubrey Peeples,93
6826,Apichatpong Weerasethakul,Apichatpong Weerasethakul,Jenjira Pongpas,126
6827,Jerry Jameson,Brian Bird,Kate Mara,46
6828,David Gordon Green,Rachel Boynton,Sandra Bullock,15
6829,Ken Scott,Steve Conrad,Vince Vaughn,21
6830,Steve Pink,Josh Heald,Rob Corddry,84
6831,François Simard,Anouk Whissell,Munro Chambers,144
6832,Patrick Brice,Patrick Brice,Adam Scott,86
6833,Michael Showalter,Laura Terruso,Sally Field,42
6834,Jonathan Demme,Diablo Cody,Meryl Streep,71
6835,Dan Fogelman,Dan Fogelman,Al Pacino,19
6836,László Nemes,László Nemes,Géza Röhrig,27
6837,Bill Condon,Mitch Cullin,Ian McKellen,127
6838,Sang-hoon Ahn,Se-hee Kim,Shin Ha-kyun,95
6839,Andy Fickman,Kevin James,Kevin James,53
6840,Atom Egoyan,Benjamin August,Christopher Plummer,118
6841,Alex Kendrick,Alex Kendrick,Priscilla C. Shirer,29
6842,Daniel Lee,Daniel Lee,Jackie Chan,28
6843,Andrew Haigh,Andrew Haigh,Charlotte Rampling,49
6844,Garry Marshall,Anya Kochoff,Jennifer Aniston,146
6845,David Ayer,David Ayer,Will Smith,134
6846,Antoine Fuqua,Akira Kurosawa,Denzel Washington,78
6847,Anthony Russo,Christopher Markus,Chris Evans,62
6848,Duncan Jones,Charles Leavitt,Travis Fimmel,76
6849,Tim Miller,Rhett Reese,Ryan Reynolds,31
6850,Scott Derrickson,Jon Spaihts,Benedict Cumberbatch,141
6851,M. Night Shyamalan,M. Night Shyamalan,James McAvoy,114
6852,Thea Sharrock,Jojo Moyes,Emilia Clarke,34
6853,Fede Alvarez,Fede Alvarez,Stephen Lang,110
6854,William Oldroyd,Nikolai Leskov,Florence Pugh,59
6855,Directors,Jared Bush,Auli'i Cravalho,81
6856,Denis Villeneuve,Eric Heisserer,Amy Adams,145
6857,Bryan Singer,Simon Kinberg,James McAvoy,103
6858,Matt Ross,Matt Ross,Viggo Mortensen,108
6859,Justin Lin,Simon Pegg,Chris Pine,54
6860,Garth Jennings,Garth Jennings,Matthew McConaughey,63
6861,Damien Chazelle,Damien Chazelle,Ryan Gosling,115
6862,James Wan,Chad Hayes,Vera Farmiga,98
6863,Morten Tyldum,Jon Spaihts,Jennifer Lawrence,126
6864,Byron Howard,Byron Howard,Ginnifer Goodwin,107
6865,Cedric Nicolas-Troyan,Evan Spiliotopoulos,Chris Hemsworth,50
6866,Mel Gibson,Robert Schenkkan,Andrew Garfield,122
6867,Park Chan-Wook,Sarah Waters,Kim Min-hee,33
6868,Michael Bay,Chuck Hogan,John Krasinski,121
6869,Tom Ford,Tom Ford,Amy Adams,63
6870,Gareth Edwards,Chris Weitz,Felicity Jones,107
6871,Zack Snyder,Chris Terrio,Ben Affleck,68
6872,Makoto Shinkai,Makoto Shinkai,Ryûnosuke Kamiki,79
6873,Alessandro Carloni,Jonathan Aibel,Jack Black,43
6874,Shane Black,Shane Black,Russell Crowe,146
6875,Roland Emmerich,Nicolas Wright,Liam Hemsworth,31
6876,Julia Ducournau,Julia Ducournau,Garance Marillier,19
6877,Tim Burton,Ransom Riggs,Eva Green,96
6878,David Yates,J.K. Rowling,Eddie Redmayne,62
6879,Sang-ho Yeon,Joo-Suk Park,Gong Yoo,100
6880,Paul W.S. Anderson,Paul W.S. Anderson,Milla Jovovich,134
6881,Ariel Vromen,Douglas Cook,Kevin Costner,146
6882,Anna Foerster,Cory Goodman,Kate Beckinsale,128
6883,Jaume Collet-Serra,Anthony Jaswinski,Blake Lively,76
6884,Theodore Melfi,Allison Schroeder,Taraji P. Henson,59
6885,Greg Tiernan,Kyle Hunter,Seth Rogen,35
6886,Tate Taylor,Erin Cressida Wilson,Emily Blunt,74
6887,David Mackenzie,Taylor Sheridan,Chris Pine,142
6888,James DeMonaco,James DeMonaco,Frank Grillo,143
6889,Paul Feig,Katie Dippold,Melissa McCarthy,82
6890,Gavin O'Connor,Bill Dubuque,Ben Affleck,142
6891,Nicolas Winding Refn,Nicolas Winding Refn,Elle Fanning,56
6892,Barry Jenkins,Barry Jenkins,Mahershala Ali,35
6893,Paul Greengrass,Paul Greengrass,Matt Damon,72
6894,Kenneth Lonergan,Kenneth Lonergan,Casey Affleck,23
6895,Rawson Marshall Thurber,Ike Barinholtz,Dwayne Johnson,100
6896,Todd Phillips,Stephen Chin,Jonah Hill,80
6897,David Yates,Adam Cozad,Alexander Skarsgård,79
6898,Martin Scorsese,Jay Cocks,Andrew Garfield,79
6899,Andrea Arnold,Andrea Arnold,Sasha Lane,43
6900,Alex Proyas,Matt Sazama,Brenton Thwaites,146
6901,Taika Waititi,Taika Waititi,Sam Neill,46
6902,John Lee Hancock,Robert Siegel,Michael Keaton,28
6903,Ron Howard,Dan Brown,Tom Hanks,58
6904,Jon M. Chu,Ed Solomon,Jesse Eisenberg,37
6905,John Madden,Jonathan Perera,Jessica Chastain,92
6906,Jon Favreau,Justin Marks,Neel Sethi,62
6907,Dan Trachtenberg,Josh Campbell,John Goodman,48
6908,James Gray,James Gray,Charlie Hunnam,123
6909,Andrew Stanton,Andrew Stanton,Ellen DeGeneres,42
6910,Garth Davis,Saroo Brierley,Dev Patel,74
6911,David F. Sandberg,Eric Heisserer,Teresa Palmer,109
6912,Deon Taylor,Deon Taylor,Mike Epps,124
6913,Robert Zemeckis,Steven Knight,Brad Pitt,68
6914,Edward Zwick,Richard Wenk,Tom Cruise,90
6915,Sharon Maguire,Helen Fielding,Renée Zellweger,112
6916,Christian Ditter,Abby Kohn,Dakota Johnson,47
6917,Oliver Stone,Kieran Fitzgerald,Joseph Gordon-Levitt,79
6918,Nitesh Tiwari,Piyush Gupta,Aamir Khan,125
6919,Ana Lily Amirpour,Ana Lily Amirpour,Suki Waterhouse,93
6920,John Hillcoat,Matt Cook,Casey Affleck,94
6921,Peter Berg,Matthew Michael Carnahan,Mark Wahlberg,67
6922,Ross Katz,Bryan Sipe,Benjamin Walker,46
6923,Clint Eastwood,Todd Komarnicki,Tom Hanks,86
6924,Luke Scott,Seth W. Owen,Kate Mara,57
6925,Burr Steers,Burr Steers,Lily James,69
6926,Brad Furman,Ellen Furman,Bryan Cranston,142
6927,Kelly Fremon Craig,Kelly Fremon Craig,Hailee Steinfeld,142
6928,Gore Verbinski,Justin Haythe,Dane DeHaan,87
6929,Babak Najafi,Creighton Rothenberger,Gerard Butler,101
6930,Dan Mazer,John Phillips,Robert De Niro,69
6931,Ethan Coen,Joel Coen,Josh Brolin,107
6932,J Blakeson,Susannah Grant,Chloë Grace Moretz,130
6933,Mike Mitchell,Jonathan Aibel,Anna Kendrick,24
6934,Robert Schwentke,Noah Oppenheim,Shailene Woodley,23
6935,Jim Jarmusch,Jim Jarmusch,Adam Driver,38
6936,Dan Kwan,Daniel Scheinert,Paul Dano,30
6937,Yimou Zhang,Carlo Bernard,Matt Damon,139
6938,Jake Szymanski,Andrew Jay Cohen,Zac Efron,131
6939,Jon Lucas,Jon Lucas,Mila Kunis,106
6940,David Frankel,Allan Loeb,Will Smith,110
6941,William Brent Bell,Stacey Menear,Lauren Cohan,126
6942,Denzel Washington,August Wilson,Denzel Washington,116
6943,James Bobin,Linda Woolverton,Mia Wasikowska,114
6944,Louis Leterrier,Sacha Baron Cohen,Sacha Baron Cohen,69
6945,Mike Thurmeier,Michael J. Wilson,Ray Romano,114
6946,Peter Berg,Peter Berg,Mark Wahlberg,112
6947,Greg Mottola,Michael LeSieur,Zach Galifianakis,150
6948,Michael Grandage,John Logan,Colin Firth,15
6949,Chris Renaud,Cinco Paul,Louis C.K.,48
6950,Akiva Schaffer,Andy Samberg,Andy Samberg,99
6951,Ivan Sen,Ivan Sen,Aaron Pedersen,20
6952,Mike Mills,Mike Mills,Annette Bening,91
6953,Justin Kurzel,Michael Lesslie,Michael Fassbender,17
6954,Dave Green,Josh Appelbaum,Megan Fox,92
6955,Elizabeth Wood,Elizabeth Wood,Morgan Saylor,97
6956,Richard Linklater,Richard Linklater,Blake Jenner,107
6957,James Watkins,Andrew Baldwin,Idris Elba,106
6958,Craig Gillespie,Scott Silver,Chris Pine,98
6959,David L. Hunt,Brian Reindl,Neal McDonough,30
6960,Anna Biller,Anna Biller,Samantha Robinson,25
6961,Greg McLean,James Gunn,John Gallagher Jr.,18
6962,Steven Spielberg,Melissa Mathison,Mark Rylance,71
6963,Ben Stiller,Justin Theroux,Ben Stiller,116
6964,Jeff Nichols,Jeff Nichols,Michael Shannon,102
6965,Clay Kaytis,Jon Vitti,Jason Sudeikis,96
6966,Ben Affleck,Ben Affleck,Ben Affleck,48
6967,Henry Joost,Jessica Sharzer,Emma Roberts,138
6968,Dennis Gansel,Lewis John Carlino,Jason Statham,103
6969,John Carney,Simon Carmody,Ferdia Walsh-Peelo,47
6970,Derek Cianfrance,Derek Cianfrance,Michael Fassbender,150
6971,Hideaki Anno,Hideaki Anno,Hiroki Hasegawa,75
6972,John Hamburg,John Hamburg,Zoey Deutch,43
6973,Patricia Riggen,Christy Beam,Jennifer Garner,49
6974,Nacho Vigalondo,Nacho Vigalondo,Anne Hathaway,81
6975,Ben Wheatley,Amy Jump,Sharlto Copley,129
6976,Jeremy Gillespie,Jeremy Gillespie,Aaron Poole,111
6977,David Leveaux,Simon Burke,Lily James,66
6978,Nicholas Stoller,Andrew Jay Cohen,Seth Rogen,114
6979,Timur Bekmambetov,Lew Wallace,Jack Huston,20
6980,Gary Ross,Gary Ross,Matthew McConaughey,120
6981,Pablo Larraín,Noah Oppenheim,Natalie Portman,24
6982,Stephen Gaghan,Patrick Massett,Matthew McConaughey,39
6983,David Lowery,David Lowery,Bryce Dallas Howard,68
6984,Rob Zombie,Rob Zombie,Malcolm McDowell,27
6985,Peter Atencio,Jordan Peele,Keegan-Michael Key,94
6986,Andrew Neel,David Gordon Green,Ben Schnetzer,28
6987,Nicholas Stoller,Nicholas Stoller,Andy Samberg,58
6988,J.A. Bayona,Patrick Ness,Lewis MacDougall,97
6989,Sean Ellis,Sean Ellis,Jamie Dornan,141
6990,Travis Knight,Marc Haimes,Charlize Theron,89
6991,Woody Allen,Woody Allen,Jesse Eisenberg,87
6992,Adam Wingard,Simon Barrett,James Allen McCune,137
6993,Asghar Farhadi,Asghar Farhadi,Shahab Hosseini,93
6994,Ti West,Ti West,Ethan Hawke,87
6995,Kevin Munroe,T.J. Fixman,James Arnold Taylor,66
6996,Kevin Reynolds,Kevin Reynolds,Joseph Fiennes,42
6997,Warren Beatty,Warren Beatty,Lily Collins,134
6998,Josh Gordon,Jon Lucas,Jason Bateman,111
6999,Chris Peckover,Zack Kahn,Olivia DeJonge,138
7000,Stephen Frears,Nicholas Martin,Meryl Streep,105
7001,Sam Liu,Brian Azzarello,Kevin Conroy,91
7002,Directors,Eric Summer,Elle Fanning,30
7003,Amat Escalante,Amat Escalante,Ruth Ramos,19
7004,Tom Tykwer,Dave Eggers,Tom Hanks,55
7005,Mike Flanagan,Mike Flanagan,Elizabeth Reaser,15
7006,Marc Forster,Sean Conway,Blake Lively,106
7007,Jason Zada,Nick Antosca,Natalie Dormer,76
7008,Jodie Foster,Jamie Linden,George Clooney,88
7009,Chris Wedge,Derek Connolly,Lucas Till,17
7010,John Krasinski,Jim Strouse,Sharlto Copley,125
7011,Michael Tiddes,Marlon Wayans,Marlon Wayans,20
7012,Maren Ade,Maren Ade,Sandra Hüller,42
7013,Lone Scherfig,Lissa Evans,Gemma Arterton,78
7014,Kirk Jones,Nia Vardalos,Nia Vardalos,51
7015,Ang Lee,Ben Fountain,Joe Alwyn,76
7016,Olivier Assayas,Olivier Assayas,Kristen Stewart,49
7017,Susanna White,John le Carré,Carlos Acosta,121
7018,Whit Stillman,Whit Stillman,Kate Beckinsale,81
7019,Ben Younger,Ben Younger,Miles Teller,67
7020,Glenn Ficarra,Robert Carlock,Tina Fey,133
7021,Jeff Nichols,Jeff Nichols,Ruth Negga,109
7022,Ken Loach,Paul Laverty,Dave Johns,48
7023,Radhika Rao,Radhika Rao,Harshvardhan Rane,115
7024,Carles Torrens,Jeremy Slater,Dominic Monaghan,58
7025,Takeshi Nozue,Takashi Hasegawa,Aaron Paul,16
7026,Bruce Beresford,Susan McMartin,Eddie Murphy,120
7027,Jonathan Jakubowicz,Jonathan Jakubowicz,Edgar Ramírez,36
7028,Karan Johar,Karan Johar,Ranbir Kapoor,48
7029,Mick Jackson,Deborah Lipstadt,Rachel Weisz,124
7030,Susan Johnson,Kara Holden,Bel Powley,60
7031,Tim Story,Phil Hay,Ice Cube,48
7032,Aniruddha Roy Chowdhury,Shoojit Sircar,Taapsee Pannu,112
7033,Babak Anvari,Babak Anvari,Narges Rashidi,120
7034,Ash Brannon,Ash Brannon,Luke Wilson,56
7035,Stephen Hopkins,Joe Shrapnel,Stephan James,80
7036,Amma Asante,Guy Hibbert,David Oyelowo,53
7037,Pedro Almodóvar,Pedro Almodóvar,Emma Suárez,62
7038,Ewan McGregor,Philip Roth,Ewan McGregor,28
7039,Sarah Adina Smith,Sarah Adina Smith,Rami Malek,52
7040,Joshua Marston,Joshua Marston,Erin Darke,107
7041,Simon Aboud,Simon Aboud,Jessica Brown Findlay,37
7042,Brad Peyton,Ronnie Christensen,Aaron Eckhart,84
7043,Anne Fontaine,Sabrina B. Karine,Lou de Laâge,73
7044,Taika Waititi,Eric Pearson,Chris Hemsworth,23
7045,Joe Wright,Anthony McCarten,Gary Oldman,40
7046,Patrick Hughes,Tom O'Connor,Ryan Reynolds,90
7047,Andy Muschietti,Chase Palmer,Bill Skarsgård,123
7048,Jon Watts,Jonathan Goldstein,Tom Holland,113
7049,Denis Villeneuve,Hampton Fancher,Harrison Ford,71
7050,James Gunn,James Gunn,Chris Pratt,37
7051,Michael Gracey,Jenny Bicks,Hugh Jackman,129
7052,Jake Kasdan,Chris McKenna,Dwayne Johnson,127
7053,Seth Gordon,Michael Berk,Dwayne Johnson,16
7054,Luca Guadagnino,James Ivory,Armie Hammer,118
7055,Hallie Meyers-Shyer,Hallie Meyers-Shyer,Reese Witherspoon,101
7056,F. Gary Gray,Gary Scott Thompson,Vin Diesel,26
7057,Jordan Peele,Jordan Peele,Daniel Kaluuya,77
7058,Christopher Nolan,Christopher Nolan,Fionn Whitehead,108
7059,Lee Unkrich,Lee Unkrich,Anthony Gonzalez,86
7060,Edgar Wright,Edgar Wright,Ansel Elgort,89
7061,Tom McGrath,Michael McCullers,Alec Baldwin,87
7062,James Mangold,James Mangold,Hugh Jackman,107
7063,Patty Jenkins,Allan Heinberg,Gal Gadot,127
7064,Ridley Scott,Dan O'Bannon,Michael Fassbender,30
7065,Chad Stahelski,Derek Kolstad,Keanu Reeves,137
7066,Stephen Chbosky,Stephen Chbosky,Jacob Tremblay,137
7067,Zack Snyder,Jerry Siegel,Ben Affleck,100
7068,Darren Aronofsky,Darren Aronofsky,Jennifer Lawrence,149
7069,Joachim Rønning,Jeff Nathanson,Johnny Depp,149
7070,Guillermo del Toro,Guillermo del Toro,Sally Hawkins,141
7071,Sebastián Lelio,Sebastián Lelio,Rachel Weisz,17
7072,Jordan Vogt-Roberts,Dan Gilroy,Tom Hiddleston,37
7073,Bill Condon,Stephen Chbosky,Emma Watson,127
7074,Matthew Vaughn,Jane Goldman,Taron Egerton,102
7075,Martin McDonagh,Martin McDonagh,Frances McDormand,42
7076,Rian Johnson,Rian Johnson,Daisy Ridley,140
7077,Michael Pearce,Michael Pearce,Jessie Buckley,93
7078,Craig Gillespie,Steven Rogers,Margot Robbie,39
7079,David Leitch,Kurt Johnstad,Charlize Theron,76
7080,Taylor Sheridan,Taylor Sheridan,Elizabeth Olsen,40
7081,Kenneth Branagh,Michael Green,Kenneth Branagh,116
7082,Guy Ritchie,Joby Harold,Charlie Hunnam,74
7083,Greta Gerwig,Greta Gerwig,Saoirse Ronan,79
7084,Yorgos Lanthimos,Yorgos Lanthimos,Barry G. Bernson,28
7085,Steven Soderbergh,Jules Asner,Channing Tatum,53
7086,James Foley,Niall Leonard,Dakota Johnson,118
7087,Christopher Landon,Scott Lobdell,Jessica Rothe,94
7088,Michael Bay,Art Marcum,Mark Wahlberg,83
7089,Benny Safdie,Ronald Bronstein,Robert Pattinson,31
7090,Rupert Sanders,Shirow Masamune,Scarlett Johansson,43
7091,Joel Hopkins,Robert Festinger,Lesley Manville,75
7092,Aaron Sorkin,Aaron Sorkin,Jessica Chastain,69
7093,Scott Cooper,Scott Cooper,Scott Shepherd,74
7094,Luc Besson,Pierre Christin,Dane DeHaan,48
7095,Nikolaj Arcel,Akiva Goldsman,Idris Elba,48
7096,Trish Sie,Kay Cannon,Anna Kendrick,52
7097,Michael Cuesta,Stephen Schiff,Dylan O'Brien,109
7098,Lynne Ramsay,Lynne Ramsay,Joaquin Phoenix,143
7099,Sean Baker,Sean Baker,Brooklynn Prince,18
7100,Daniel Espinosa,Rhett Reese,Jake Gyllenhaal,101
7101,Armando Iannucci,Armando Iannucci,Steve Buscemi,127
7102,Marc Webb,Tom Flynn,Chris Evans,113
7103,Paul Thomas Anderson,Paul Thomas Anderson,Vicky Krieps,32
7104,Neil Burger,Jon Hartmere,Kevin Hart,129
7105,Cate Shortland,Shaun Grant,Teresa Palmer,131
7106,David F. Sandberg,Gary Dauberman,Anthony LaPaglia,80
7107,Doug Liman,Gary Spinelli,Tom Cruise,137
7108,Matt Reeves,Mark Bomback,Andy Serkis,101
7109,Dean Devlin,Dean Devlin,Gerard Butler,63
7110,James Ponsoldt,James Ponsoldt,Emma Watson,23
7111,Brian Fee,Brian Fee,Owen Wilson,110
7112,Lucia Aniello,Lucia Aniello,Scarlett Johansson,94
7113,D.J. Caruso,Rich Wilkes,Vin Diesel,117
7114,Alex Kurtzman,David Koepp,Tom Cruise,141
7115,Dax Shepard,Rick Rosner,Michael Peña,41
7116,Carlos Saldanha,Robert L. Baird,John Cena,148
7117,Joseph Kosinski,Sean Flynn,Josh Brolin,68
7118,Sofia Coppola,Sofia Coppola,Nicole Kidman,123
7119,Destin Daniel Cretton,Destin Daniel Cretton,Brie Larson,131
7120,Chris McKay,Seth Grahame-Smith,Will Arnett,29
7121,Michael Noer,Aaron Guzikowski,Charlie Hunnam,35
7122,Michael Showalter,Emily V. Gordon,Kumail Nanjiani,53
7123,Justin Benson,Justin Benson,Aaron Moorhead,147
7124,Cory Finley,Cory Finley,Olivia Cooke,75
7125,Martin Campbell,David Marconi,Katie Leung,50
7126,Coralie Fargeat,Coralie Fargeat,Matilda Anna Ingrid Lutz,143
7127,Michael Spierig,Josh Stolberg,Matt Passmore,95
7128,Tomas Alfredson,Jo Nesbø,Michael Fassbender,119
7129,James Franco,Scott Neustadter,James Franco,109
7130,Johannes Roberts,Johannes Roberts,Mandy Moore,116
7131,Steven Spielberg,Liz Hannah,Meryl Streep,22
7132,Stella Meghie,J. Mills Goodloe,Amandla Stenberg,124
7133,David Lowery,David Lowery,Casey Affleck,20
7134,Jamie M. Dagg,Paul China,Jon Bernthal,72
7135,Dean Israelite,John Gatins,Dacre Montgomery,111
7136,John Carroll Lynch,Logan Sparks,Harry Dean Stanton,142
7137,Ridley Scott,David Scarpa,Michelle Williams,101
7138,George Clooney,Joel Coen,Matt Damon,15
7139,Björn Runge,Jane Anderson,Glenn Close,142
